source_id,title,authors,year,type,venue,link_or_doi,relevance_note,local_path,source_label,needs_manual_review
metabolites-15-00653.pdf_caa04239668e,Received: 23 August 2025,unknown,2025,paper,unknown,unknown,This source discusses personalized nutrition and health and is relevant because it informs evidence and recommendations in evidence-grounded personalized nutrition/health decision support.,data/raw/metabolites-15-00653.pdf,metabolites_15_00653,1
s12911-025-03298-9.pdf_9f3c92dc64d9,Open Access,unknown,2025,paper,unknown,unknown,This source discusses personalized nutrition and health and is relevant because it informs evidence and recommendations in evidence-grounded personalized nutrition/health decision support.,data/raw/s12911-025-03298-9.pdf,s12911_025_03298_9,1
s41512-025-00213-8.pdf_cf7929fcd769,Open Access,unknown,2025,paper,unknown,unknown,This source discusses personalized nutrition and health and is relevant because it informs evidence and recommendations in evidence-grounded personalized nutrition/health decision support.,data/raw/s41512-025-00213-8.pdf,s41512_025_00213_8,1
s41591-024-02951-6.pdf_1ecb7a43c514,Nature Medicine | Volume 30 | July 2024 | 1888–1897,unknown,2024,paper,unknown,unknown,This source discusses personalized nutrition and health and is relevant because it informs evidence and recommendations in evidence-grounded personalized nutrition/health decision support.,data/raw/s41591-024-02951-6.pdf,s41591_024_02951_6,1
s41598-024-70073-7.pdf_18e2b7ecef68,Vol.:(0123456789),unknown,2024,paper,unknown,unknown,This source discusses personalized nutrition and health and is relevant because it informs evidence and recommendations in evidence-grounded personalized nutrition/health decision support.,data/raw/s41598-024-70073-7.pdf,s41598_024_70073_7,1
s41598-025-15867-z.pdf_f3d8515f0856,Personalized health monitoring,unknown,unknown,paper,unknown,unknown,This source discusses personalized nutrition and health and is relevant because it informs evidence and recommendations in evidence-grounded personalized nutrition/health decision support.,data/raw/s41598-025-15867-z.pdf,s41598_025_15867_z,1
s41746-023-00913-9.pdf_7e0df380531f,PERSPECTIVE,unknown,2023,paper,unknown,unknown,This source discusses personalized nutrition and health and is relevant because it informs evidence and recommendations in evidence-grounded personalized nutrition/health decision support.,data/raw/s41746-023-00913-9.pdf,s41746_023_00913_9,1
s41746-024-01300-8.pdf_83ca9dfde346,npj | digital medicine,unknown,unknown,paper,unknown,unknown,This source discusses personalized nutrition and health and is relevant because it informs evidence and recommendations in evidence-grounded personalized nutrition/health decision support.,data/raw/s41746-024-01300-8.pdf,s41746_024_01300_8,1
s41746-025-01503-7__1_.pdf_1bb1eb46fc11,npj | digital medicine,unknown,2024,paper,unknown,unknown,This source discusses personalized nutrition and health and is relevant because it informs evidence and recommendations in evidence-grounded personalized nutrition/health decision support.,data/raw/s41746-025-01503-7 (1).pdf,s41746_025_01503_7_(1),1
s41746-025-01503-7.pdf_bdf010823dc2,npj | digital medicine,unknown,2024,paper,unknown,unknown,This source discusses personalized nutrition and health and is relevant because it informs evidence and recommendations in evidence-grounded personalized nutrition/health decision support.,data/raw/s41746-025-01503-7.pdf,s41746_025_01503_7,1
s41746-025-01900-y.pdf_1e64f98603e3,npj | digital medicine,unknown,unknown,paper,unknown,unknown,This source discusses personalized nutrition and health and is relevant because it informs evidence and recommendations in evidence-grounded personalized nutrition/health decision support.,data/raw/s41746-025-01900-y.pdf,s41746_025_01900_y,1
s43856-023-00279-9.pdf_366954dd7283,PERSPECTIVE,unknown,2021,paper,unknown,unknown,This source discusses personalized nutrition and health and is relevant because it informs evidence and recommendations in evidence-grounded personalized nutrition/health decision support.,data/raw/s43856-023-00279-9.pdf,s43856_023_00279_9,1
s43856-025-01159-0.pdf_cfa703abcc3b,communications medicine,unknown,unknown,paper,unknown,unknown,This source discusses personalized nutrition and health and is relevant because it informs evidence and recommendations in evidence-grounded personalized nutrition/health decision support.,data/raw/s43856-025-01159-0.pdf,s43856_025_01159_0,1
s44401-025-00016-5.pdf_fcd8a417513b,npj | health systems,unknown,unknown,paper,unknown,unknown,This source discusses personalized nutrition and health and is relevant because it informs evidence and recommendations in evidence-grounded personalized nutrition/health decision support.,data/raw/s44401-025-00016-5.pdf,s44401_025_00016_5,1
tjc-chai-release-guidance-resp_94f63723c8c7,Publications,unknown,2025,paper,unknown,unknown,This source discusses personalized nutrition and health and is relevant because it informs evidence and recommendations in evidence-grounded personalized nutrition/health decision support.,data/raw/tjc-chai-release-guidance-responsible-ai-use-healthcare.pdf,tjc_chai_release_guidance_responsible_ai_use_healthcare,1
